[11-Oct-2017 01:12:40 PRC] PHP Parse error:  syntax error, unexpected ''articlecat'' (T_CONSTANT_ENCAPSED_STRING), expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticlecatModel.class.php on line 9
[22-Jan-2018 14:04:45 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\876879825021ba87695721edfb82583f.php on line 67
[22-Jan-2018 14:05:29 PRC] PHP Parse error:  syntax error, unexpected '<' in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\876879825021ba87695721edfb82583f.php on line 59
[22-Jan-2018 14:05:41 PRC] PHP Parse error:  syntax error, unexpected '<' in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\876879825021ba87695721edfb82583f.php on line 59
[10-Mar-2018 01:54:00 PRC] PHP Parse error:  syntax error, unexpected ';' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\InformationAction.class.php on line 79
[12-Mar-2018 00:08:47 PRC] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 82
[12-Mar-2018 23:54:27 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 262
[12-Mar-2018 23:54:39 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 262
[12-Mar-2018 23:54:40 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 262
[12-Mar-2018 23:54:48 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 262
[13-Mar-2018 01:24:13 PRC] PHP Parse error:  syntax error, unexpected 'explode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:42 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:43 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:48 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:50 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:52 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:53 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:54 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[13-Mar-2018 01:24:55 PRC] PHP Parse error:  syntax error, unexpected 'implode' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 479
[21-Mar-2018 22:44:29 PRC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Model\MeetingModel.class.php on line 19
[25-Mar-2018 19:36:25 PRC] PHP Fatal error:  Class 'MySQLReback' not found in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\WebinfoAction.class.php on line 87
[25-Mar-2018 21:58:21 PRC] PHP Fatal error:  Class 'MySQLReback' not found in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\WebinfoAction.class.php on line 99
[25-Mar-2018 21:58:39 PRC] PHP Fatal error:  Class 'MySQLReback' not found in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\WebinfoAction.class.php on line 100
[25-Mar-2018 21:59:04 PRC] PHP Fatal error:  Class 'Admin\Controller\MySQLReback' not found in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\WebinfoAction.class.php on line 99
[25-Mar-2018 22:01:32 PRC] PHP Fatal error:  Class 'Admin\Controller\MySQLReback' not found in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\WebinfoAction.class.php on line 99
[25-Mar-2018 22:03:03 PRC] PHP Fatal error:  require_once(): Failed opening required 'mysql/MySQLReback.php' (include_path='.;C:\php\pear;./ThinkPHP/Extend/Vendor/') in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\WebinfoAction.class.php on line 87
[25-Mar-2018 22:17:28 PRC] PHP Fatal error:  Call to undefined function getfiletime() in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\0fa7937d254a8505789d1e6c5b11089c.php on line 61
[25-Mar-2018 22:17:47 PRC] PHP Fatal error:  Call to undefined function getfiletime() in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\0fa7937d254a8505789d1e6c5b11089c.php on line 61
[25-Mar-2018 22:17:51 PRC] PHP Fatal error:  Call to undefined function getfiletime() in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\0fa7937d254a8505789d1e6c5b11089c.php on line 61
[25-Mar-2018 22:18:31 PRC] PHP Fatal error:  Call to undefined function getfiletime() in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\0fa7937d254a8505789d1e6c5b11089c.php on line 61
[25-Mar-2018 22:19:52 PRC] PHP Fatal error:  Call to undefined function getfiletime() in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\0fa7937d254a8505789d1e6c5b11089c.php on line 61
[25-Mar-2018 22:20:16 PRC] PHP Fatal error:  Call to undefined function getfiletime() in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\0fa7937d254a8505789d1e6c5b11089c.php on line 61
[25-Mar-2018 22:21:30 PRC] PHP Fatal error:  Class 'Admin\Controller\Exception' not found in E:\phpStudy\WWW\mifeng\mifeng\mysql\MySQLReback.class.php on line 230
[25-Mar-2018 22:26:03 PRC] PHP Fatal error:  Call to undefined method Admin\Controller\MySQLReback::error() in E:\phpStudy\WWW\mifeng\mifeng\mysql\MySQLReback.class.php on line 230
[26-Mar-2018 00:25:55 PRC] PHP Fatal error:  Call to undefined function getRegion() in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\RecruitmentAction.class.php on line 24
[26-Mar-2018 00:26:56 PRC] PHP Fatal error:  Class 'Control' not found in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\RecruitmentAction.class.php on line 24
[26-Mar-2018 00:28:40 PRC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\CommonAction.class.php on line 200
[26-Mar-2018 00:29:24 PRC] PHP Fatal error:  Call to undefined function getRegion() in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\f5fa2aa1235d562e416d03a6c7498de2.php on line 47
[26-Mar-2018 00:47:41 PRC] PHP Parse error:  syntax error, unexpected '<' in E:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Admin\Cache\f5fa2aa1235d562e416d03a6c7498de2.php on line 54
[28-Mar-2018 00:35:40 PRC] PHP Parse error:  syntax error, unexpected ''.sql'' (T_CONSTANT_ENCAPSED_STRING) in E:\phpStudy\WWW\mifeng\mifeng\mysql\MySQLReback.class.php on line 68
